N,repeticao,pi,dentro,tempo_s
100000000,1,3.141499,78537472,0.380134
100000000,2,3.141499,78537472,0.381100
100000000,3,3.141499,78537472,0.382535
100000000,4,3.141499,78537472,0.375017
100000000,5,3.141499,78537472,0.378975
500000000,1,3.141600,392700028,1.917930
500000000,2,3.141600,392700028,1.900578
500000000,3,3.141600,392700028,1.907187
500000000,4,3.141600,392700028,1.894575
500000000,5,3.141600,392700028,1.863954
1000000000,1,3.141621,785405278,3.737023
1000000000,2,3.141621,785405278,3.785776
1000000000,3,3.141621,785405278,3.793089
1000000000,4,3.141621,785405278,3.788842
1000000000,5,3.141621,785405278,3.776709
